NAME,name,url,Lat,Lon
ADELAIDE AIRPORT,Adelaide Airport,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94672.json,-34.9524,138.5196
AIREYS INLET,Aireys Inlet,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94846.json,-38.4583,144.0883
ALBANY,Albany,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94801.json,-35.0289,117.8808
ALBANY AIRPORT,Albany Airport,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94802.json,-34.9411,117.8158
ALICE SPRINGS AIRPORT,Alice Springs Airport,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94326.json,-23.7951,133.889
ALVA BEACH,Alva Beach,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95296.json,-19.4569,147.4833
ANDAMOOKA,Andamooka,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95660.json,-30.449,137.1692
APPLETHORPE,Applethorpe,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94553.json,-28.6217,151.9533
ARKAROOLA,Arkaroola,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94676.json,-30.311,139.3357
ARLTUNGA,Arltunga,http://www.bom.gov.au/fwo/IDD60801/IDD60801.95323.json,-23.4564,134.6849
BALLADONIA,Balladonia,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94642.json,-32.4569,123.8653
BENCUBBIN,Bencubbin,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94632.json,-30.8081,117.8603
BEVERLEY,Beverley,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95615.json,-32.1083,116.9247
BICKLEY,Bickley,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95610.json,-32.0072,116.1369
BIDYADANGA,Bidyadanga,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94202.json,-18.6844,121.7803
BLACK POINT,Black Point,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94134.json,-11.1538,132.143
BLACKWATER AIRPORT,Blackwater Airport,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94398.json,-23.6015,148.8074
BOMBALA AWS,Bombala AWS,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94929.json,-37.0016,149.2336
BOUGAINVILLE REEF,Bougainville Reef,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95288.json,-15.4877,147.1183
BOWEN AIRPORT AWS,Bowen Airport AWS,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94383.json,-20.0154,148.2138
BRADSHAW,Bradshaw,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94130.json,-14.9408,130.8091
BRIDGETOWN,Bridgetown,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95632.json,-33.9486,116.1311
BRISBANE,Brisbane,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94576.json,-27.4808,153.0389
BROOKTON,Brookton,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94625.json,-32.3728,117.0086
BROWSE ISLAND,Browse Island,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94103.json,-14.1089,123.5472
BRUNETTE DOWNS,Brunette Downs,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94242.json,-18.637,135.945
BULGA DOWNS,Bulga Downs,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94444.json,-28.4967,119.7436
BULMAN,Bulman,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94143.json,-13.6715,134.3415
BUNBURY,Bunbury,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94604.json,-33.3567,115.6447
BURKETOWN AIRPORT,Burketown Airport,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94260.json,-17.7483,139.5356
BURRINJUCK DAM,Burrinjuck Dam,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94909.json,-34.9997,148.5984
BUTLERS GORGE,Butlers Gorge,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94959.json,-42.2753,146.2758
CAIRNS RACECOURSE,Cairns Racecourse,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94288.json,-16.9463,145.7474
CAPE BORDA,Cape Borda,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95805.json,-35.7549,136.5959
CAPE FLATTERY,Cape Flattery,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94188.json,-14.9672,145.3106
CAPE GRIM,Cape Grim,http://www.bom.gov.au/fwo/IDT60801/IDT60801.95954.json,-40.6764,144.6922
CAPE LEEUWIN,Cape Leeuwin,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94601.json,-34.3728,115.1358
CAPE NATURALISTE,Cape Naturaliste,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94600.json,-33.5372,115.0189
CAPE SORELL,Cape Sorell,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94974.json,-42.1986,145.17
CAPE WESSEL,Cape Wessel,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94147.json,-11.0047,136.7586
CAPE WILLOUGHBY,Cape Willoughby,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94822.json,-35.8426,138.1327
CARNAMAH,Carnamah,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94415.json,-29.6886,115.8872
CARNEGIE,Carnegie,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94451.json,-25.7964,122.9753
