name,url,xx,row_id,xx_diff,dup_url,url_ok
Kalumburu,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94100.json,94100,1,,FALSE,TRUE
Troughton Island,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94102.json,94102,2,2,FALSE,TRUE
Noonamah,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94105.json,94105,3,3,FALSE,TRUE
Ngukurr AWS,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94106.json,94106,4,1,FALSE,TRUE
Croker Island Airport,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94108.json,94108,5,2,FALSE,TRUE
Murganella Airstrip,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94109.json,94109,6,1,FALSE,TRUE
Oenpelli Airport,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94110.json,94110,7,1,FALSE,TRUE
Fish Reef,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94114.json,94114,8,4,FALSE,TRUE
Dum In Mirrie,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94116.json,94116,9,2,FALSE,TRUE
Mango Farm,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94117.json,94117,10,1,FALSE,TRUE
Pirlangimpi,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94119.json,94119,11,2,FALSE,TRUE
Darwin Airport,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94120.json,94120,12,1,FALSE,TRUE
Channel Point,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94121.json,94121,13,1,FALSE,TRUE
Point Fawcett,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94122.json,94122,14,1,FALSE,TRUE
Batchelor,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94125.json,94125,15,3,FALSE,TRUE
Point Stuart,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94127.json,94127,16,2,FALSE,TRUE
Douglas River,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94128.json,94128,17,1,FALSE,TRUE
Cape Don,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94129.json,94129,18,1,FALSE,TRUE
Bradshaw,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94130.json,94130,19,1,FALSE,TRUE
Tindal,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94131.json,94131,20,1,FALSE,TRUE
Katherine,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94132.json,94132,21,1,FALSE,TRUE
